difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is a hub?,A Layer 2 device that forwards frames based on destination MAC addresses,A Layer 3 device that routes traffic between different IP subnets,A Layer 1 device that repeats incoming electrical signals out all other ports,A device that manages VLAN assignments across multiple switches,C,A hub is a Layer 1 device. It simply repeats an incoming electrical signal out every other port without inspecting frame contents or caring about the intended destination.,hub definition,hub repeats signals out all ports without inspecting frame contents,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,Which of the following devices separates broadcast domains?,Hub,Access point,Switch,Router,D,Routers separate broadcast domains. A Layer 2 switch forwards broadcasts to all ports in the same VLAN — the entire switched network can still be one broadcast domain unless VLANs or routers segment it. Routers do not forward Layer 2 broadcasts across interfaces.,broadcast domain,routers separate broadcast domains by blocking layer 2 broadcasts,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the best practice for configuring switch port modes to prevent VLAN hopping?,Leave all ports in DTP auto mode so the switch can adapt dynamically to connected devices,Use DTP desirable mode on all ports so they actively negotiate the best mode,Configure all ports in DTP desirable so they form trunks with all connected equipment,Explicitly configure access ports as access and trunk ports as trunk rather than relying on automatic negotiation,D,Relying on DTP auto-negotiation leaves ports open to unauthorized trunk formation. Best practice: hard-code every port — switchport mode access for endpoint ports and switchport mode trunk for inter-switch links. This eliminates ambiguity and prevents VLAN hopping via rogue trunk negotiation.,best practice switchport mode,explicitly set access or trunk mode on every port instead of relying on dtp,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the VLAN hopping attack?,An attack where a device spoofs a router MAC address to intercept inter-VLAN routed traffic,An attack where a device gains unauthorized access to multiple VLANs by abusing trunk negotiation behavior,An attack that floods the switch MAC table to force it into hub mode sending all traffic everywhere,An attack that exhausts the PoE power budget of a switch by connecting many high-power devices,B,VLAN hopping occurs when an attacker connects a device that negotiates a trunk link (via DTP or double-tagging). Once trunked the attacker receives tagged frames for all VLANs not just their own. Hard-coding access mode and changing the native VLAN mitigate this.,vlan hopping attack,vlan hopping gains access to multiple vlans by abusing trunk negotiation,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,Why does a VLAN keep its broadcast traffic isolated from other VLANs?,Because the switch uses NAT to rewrite broadcast addresses before crossing VLAN boundaries,Because broadcasts use a destination IP that routers filter at each interface,Because each VLAN is its own separate Layer 2 broadcast domain and switches only forward broadcasts within the same VLAN,Because VLANs encrypt broadcast frames so other VLANs cannot decode them,C,A VLAN is a broadcast domain. When a device in VLAN 10 sends a broadcast the switch forwards it only to other ports in VLAN 10. Ports in VLAN 20 or other VLANs do not receive it. This is the core Layer 2 isolation mechanism that VLANs provide.,broadcast-domain reduction,vlan is its own broadcast domain so broadcasts stay within the vlan only,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
easy,What does NAT track to ensure internet replies reach the correct internal host?,NAT tracks the VLAN ID of the original request to route replies to the correct segment,NAT tracks the destination IP address of the server to forward replies to the correct subnet,NAT tracks which internal host originated each session so it can map the incoming reply back to the correct private IP,NAT tracks ARP entries and uses them to forward reply traffic to the requesting host,C,When an internal host sends traffic through NAT the router records the session mapping (internal IP and port; external IP and port; and translated public IP and port). When the reply arrives the router looks up this session record to restore the original private destination IP.,nat session tracking,nat tracks original session to map internet replies back to the correct private host,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
easy,What is the same-cabling advantage of VLANs?,VLANs use thinner cables than physical network segments allowing more devices per conduit,VLANs allow multiple departments to share the same physical switch and cabling while keeping their traffic logically separated,VLANs eliminate the need for patch cables by using wireless bridging within the switch chassis,VLANs use the same cable for both power and data delivery eliminating the need for separate PoE cables,B,Without VLANs separating departments means separate physical switches and separate cable runs. VLANs let departments share the same switch hardware and cabling infrastructure while maintaining logical separation through port VLAN assignment.,same-cabling advantage,vlans let departments share cabling and switches while remaining logically separated,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
easy,What is a remote-access VPN used for?,Connecting two offices in different cities through the internet with encrypted tunnels,Providing external vendors with unencrypted access to network monitoring dashboards,Giving remote workers encrypted secure access to the company network from an external location,Extending the corporate VLAN to branch switches using 802.1Q over a WAN link,C,A remote-access VPN lets an employee working from home or traveling connect securely to the corporate network over the internet. The VPN client on their device creates an encrypted tunnel to the VPN concentrator giving access to internal resources.,remote-access vpn,remote-access vpn gives remote workers encrypted access to the company network,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,A hub connects 12 devices. How many collision domains exist and how would replacing it with a switch change this?,12 collision domains on the hub; the switch would merge them into 1,1 collision domain on the hub; the switch would create 1 collision domain per active port,1 collision domain on the hub; the switch would create 1 large shared collision domain for all ports,All 12 devices have their own collision domain on the hub; the switch would reduce this to 1,B,A hub puts all ports in one collision domain — all 12 devices compete for the same medium. A switch creates a separate collision domain per active port link — 12 ports means 12 collision domains. Devices communicating on different pairs of ports do not interfere.,switch collision domain behavior,hub creates one collision domain; switch creates one per port,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why does MAC address learning cause flooding to diminish over time on a switch?,Flooding decreases because the switch eventually disables unused ports reducing the number of destinations,Flooding decreases because the switch upgrades from Layer 2 to Layer 3 forwarding after building the MAC table,Flooding decreases because as hosts communicate the switch learns their MAC-to-port mappings; subsequent traffic to known MACs is forwarded directly without flooding,Flooding is replaced by ARP which provides MAC addresses so the switch never needs to flood again,C,Flooding is temporary. The first time an unknown unicast frame arrives the switch floods it. When the destination host responds the switch learns its MAC and port. From that point the switch forwards directly without flooding. Most entries are learned quickly as hosts communicate.,switch learning,mac learning from replies eliminates flooding for known destinations over time,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why would an uplink port between distribution and core switches need higher speed than access ports connecting workstations?,Workstations negotiate to lower speeds automatically while uplinks stay at maximum speed by default,Each uplink aggregates the combined traffic from all downstream hosts so it carries far more traffic than any single workstation link,Uplinks require higher speed because 802.1Q tagging adds overhead that slows frame processing at standard speeds,Uplinks must outrun ARP broadcast traffic which overwhelms standard-speed access ports,B,Access ports each carry one workstation's traffic. The uplink between switches carries the aggregate of all downstream hosts communicating upward simultaneously. A slow uplink creates a bottleneck for everyone on the segment. High-speed SFP ports or multi-gig links are used for uplinks and server connections for this reason.,uplink definition,uplinks carry aggregated traffic from all downstream hosts requiring higher speed,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,How does VTP reduce administrative burden in a multi-switch network?,VTP automatically assigns ports to VLANs based on the device MAC address eliminating manual port assignment,VTP eliminates the need for 802.1Q trunking by encrypting VLAN IDs into the standard Ethernet frame,VTP uses the revision number system so the switch with the highest revision always pushes the authoritative VLAN database to all others; reducing per-switch manual configuration,VTP replicates VLAN IDs and names from a VTP server to all VTP client switches so administrators create VLANs once on the server rather than manually on every switch,D,Without VTP administrators must create the same VLAN IDs and names on every switch individually. VTP lets one switch act as the server: create a VLAN there and it propagates to all VTP client switches over trunk links automatically.,vtp benefit,vtp replicates vlan database from server to all clients reducing per-switch config,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What does 802.1Q conceptually do to a frame as it crosses a trunk link?,802.1Q encapsulates the entire Ethernet frame in a new outer header adding 26 bytes of overhead,802.1Q replaces the source MAC address with the VLAN ID so the destination switch knows which VLAN the frame belongs to,802.1Q inserts a VLAN tag into the frame so the receiving device knows which VLAN the frame belongs to,802.1Q compresses the payload of the frame to reduce trunk link bandwidth usage,C,As a frame leaves a VLAN-aware device on a trunk the switch inserts a 4-byte 802.1Q tag into the Ethernet frame. The tag contains the VLAN ID. The receiving device reads the tag; processes the frame in the correct VLAN; and strips the tag before forwarding to an access port.,802.1q conceptual behavior,802.1q inserts a vlan tag into the frame so the receiving device identifies the vlan,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
medium,What is the difference between DTP auto mode and DTP desirable mode?,Auto mode forms trunks with any device while desirable mode only forms trunks with matching Cisco equipment,Auto and desirable behave identically; the terms only differ for documentation purposes,Auto waits passively and does not initiate trunk formation; desirable actively sends DTP negotiation frames to form a trunk,Auto mode requires 802.1Q while desirable mode uses ISL; the modes define which encapsulation is used,C,DTP auto: the port will become a trunk only if the other side actively initiates. DTP desirable: the port actively sends DTP frames trying to negotiate a trunk. Auto + Auto = no trunk (neither side initiates). Desirable + Auto or Desirable + Desirable = trunk forms.,dtp auto vs desirable,auto waits passively for trunk; desirable actively initiates trunk negotiation,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why does a switch need to know the destination MAC address is already in the MAC table before it can forward a frame directly?,Without a MAC table entry the switch has no information about which port leads to the destination so it must flood to avoid dropping the frame,The switch must confirm the MAC table entry is current by querying the DHCP server before forwarding,MAC table lookup is only used to prevent collisions; forwarding decisions are still made by flooding,Frames can only be forwarded directly if the destination port is in full-duplex mode regardless of MAC table state,A,If the MAC table has no entry for the destination MAC the switch cannot identify the correct egress port. Dropping the frame would be incorrect because the host may exist on a port that has not yet transmitted. Flooding ensures the frame reaches its destination even without a table entry.,known-destination forwarding,mac table entry required to forward directly; missing entry triggers flooding,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the practical benefit of VLAN-to-subnet alignment in network design?,VLANs that match subnets allow switches to route packets between them without a router,VLAN-to-subnet alignment allows the switch to assign IP addresses automatically without DHCP,Each VLAN functions as its own broadcast domain; aligning VLANs with IP subnets ensures the IP and Layer 2 boundaries match so routing between VLANs matches routing between subnets,VLAN-to-subnet alignment enables ISL trunking to carry IP routing table information between switches,C,When each VLAN maps to one IP subnet the network architecture is clean: all hosts in a VLAN share a subnet; inter-VLAN traffic is inter-subnet traffic routed by a router or Layer 3 switch. Misalignment (multiple subnets per VLAN or multiple VLANs per subnet) causes operational and troubleshooting complexity.,vlan-to-subnet relationship,aligning vlans with subnets makes layer 2 and layer 3 boundaries match,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,How does NAT allow a private internal network to communicate with the internet when private IP addresses are not routable on the public internet?,NAT converts private IP addresses to IPv6 addresses which are routable globally,NAT assigns a separate public IP address to every internal host from a large pool of public IPs,NAT at the router substitutes its own public IP as the source address when internal packets leave and reverses the substitution when replies return,NAT encrypts private IP addresses into a VPN header that internet routers can forward without knowing the internal addressing scheme,C,Private IP ranges (10.x; 172.16-31.x; 192.168.x) are not routable on the internet. When an internal host sends a packet outbound NAT replaces the private source IP with the router's public IP. The router tracks the session and when the reply comes back it substitutes the original private IP and forwards inward.,nat sender substitution,nat replaces private source ip with public router ip enabling internet communication,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the VLAN hopping threat model and what makes DTP auto mode the enabling vulnerability?,VLAN hopping exploits STP to block ports selectively; DTP auto mode creates loop conditions that allow reachability across VLANs,DTP auto mode causes ARP floods that allow attackers to intercept inter-VLAN routed traffic,An attacker connects a device that speaks DTP; auto mode allows the port to negotiate to trunk mode giving the attacker tagged access to all VLANs — disabled by hard-coding access mode,DTP auto mode encrypts traffic weakly; attackers decode the encryption to access any VLAN's traffic without needing trunk access,C,VLAN hopping threat: attacker plugs in a device that sends DTP negotiate frames. The switch port in auto mode accepts and forms a trunk. The attacker can now send and receive 802.1Q-tagged frames for any VLAN on that trunk. Hard-coding switchport mode access disables DTP completely on that port.,vlan hopping attack,dtp auto mode enables vlan hopping by allowing attackers to negotiate trunk access,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why does MAC-based forwarding still matter on a routed network even though routers use IP addresses?,Once a router makes the IP routing decision the packet is still encapsulated in an Ethernet frame and local delivery on each segment depends on MAC addresses to reach the next hop,MAC addresses are only relevant inside the router CPU for looking up the routing table; the Ethernet frame is discarded before the routing decision,Routed networks replace MAC addresses with IP addresses at every hop so MAC is irrelevant beyond the first switch,MAC addresses are used by the router to encrypt packet payloads before forwarding them between subnets,A,Routing decides which interface and next-hop to use (IP decision). But the actual frame sent on the local Ethernet segment must have the next-hop's MAC as the destination. ARP resolves the next-hop IP to a MAC. This Layer 2 delivery happens at every hop along the routed path.,mac still matters in routed networks,local ethernet delivery still uses mac addresses even when routing by ip,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What are the three core switch behaviors described in Chapter 3 and what triggers each one?,Routing; bridging; and switching — triggered by IP address lookup; MAC address lookup; and VLAN ID respectively,Encrypting; decrypting; and forwarding — triggered by VPN negotiation; key exchange; and session establishment,Learning; forwarding; and flooding — triggered by reading source MAC; destination MAC in table; and destination MAC unknown,Trunking; tagging; and forwarding — triggered by DTP negotiation; 802.1Q insertion; and VLAN lookup,C,Three core switch behaviors: (1) Learning — triggered by any incoming frame; switch reads source MAC and ingress port into MAC table; (2) Forwarding — triggered when destination MAC is in the table; switch sends frame to the learned port only; (3) Flooding — triggered when destination MAC is unknown; switch sends to all ports except ingress.,three basic switch functions,learning from source mac; forwarding to known destination; flooding for unknown,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why does connecting two switches together via trunks extend the broadcast domain across both switches?,Trunking creates a Layer 3 path between switches causing routed broadcasts to propagate,Trunking merges the MAC tables of both switches into one shared forwarding database,Switches forward broadcasts to all ports in the same VLAN; with a trunk link frames tagged for a VLAN cross from one switch to the other so both switches' ports in that VLAN are in the same broadcast domain,Trunking causes both switches to replicate all broadcast frames to every attached VLAN regardless of port assignment,C,Without a router or VLAN segmentation broadcast frames flood through trunk links. A broadcast from Host A on SW1 enters VLAN 1; the switch floods it out all VLAN 1 ports including the trunk to SW2; SW2 floods it out all its VLAN 1 ports. All hosts in VLAN 1 across both switches receive it.,switch broadcast behavior,trunk links propagate broadcasts across switches extending the broadcast domain,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,A virtualization server with multiple VMs needs each VM on a different VLAN. What switch configuration allows this on one physical NIC?,Configure each VM as a separate physical device and connect each to its own switch access port using virtual cables,Enable STP on the server's NIC so spanning tree can dynamically assign VLANs to each VM,Configure a trunk link between the switch and the server's NIC; the hypervisor uses 802.1Q tagging to assign each VM to its VLAN,Configure the server NIC as an access port in one VLAN and use NAT on the server to translate between VM subnets,C,A virtualization server NIC on a trunk link receives 802.1Q-tagged frames. The hypervisor (VMware; Hyper-V; etc.) reads the VLAN tag and forwards the frame to the correct virtual machine. Each VM belongs to a VLAN without needing a separate physical NIC.,server trunk use case,trunk to server lets hypervisor use 802.1q tags to place each vm in a vlan,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
medium,How does a switch handle a frame with a known destination MAC that is reachable through a port leading to another switch?,The switch drops the frame because only direct access-port destinations are supported,The switch looks up the destination MAC in its MAC table; finds it associated with the uplink port leading to the other switch; and forwards the frame only out that port,The switch floods the frame because it cannot confirm the destination is reachable through the uplink without an ARP reply,The switch creates a new trunk session to the other switch before forwarding the frame,B,The MAC table maps destination MACs to egress ports. If the destination host is behind another switch the MAC is associated with the uplink port. The switch forwards the frame only out that port and it is the job of the next switch to deliver it further.,multiple macs on one port,switch forwards to uplink port when destination mac is reachable through another switch,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the functional difference between the VTP server and VTP client roles?,The VTP server creates the VLAN database and the VTP client provides Layer 3 routing for inter-VLAN traffic,The VTP server runs one spanning-tree instance per VLAN while the VTP client runs one instance for all VLANs combined,VTP server and client have no functional difference; the terms only describe which switch was configured first,The VTP server creates and modifies the VLAN database and advertises it to VTP clients; VTP clients accept updates and store them but cannot make changes to the VLAN database,D,VTP server: administrator creates; modifies; and deletes VLANs here. Changes are advertised to all VTP clients in the same domain. VTP client: receives and applies VLAN database updates but cannot independently create or modify VLANs.,vtp,vtp server creates vlans and advertises to clients who cannot modify the database,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,A host in VLAN 30 needs to reach the internet. Describe the Layer 2 and Layer 3 handoff that must occur.,The host sends a Layer 2 frame directly to the internet server's MAC address and the switch routes it to the internet based on VLAN ID,The switch routes the packet based on the destination IP from VLAN 30 to the internet without a router,The host sends an ARP for the destination IP; the switch responds; and the frame is forwarded directly across VLANs without routing,The host sends traffic with the router's gateway IP as destination IP; the switch forwards it as Layer 2 within VLAN 30 to the router interface; the router strips Layer 2 and routes the IP packet toward the internet,D,Process: (1) host builds an IP packet to the internet destination; (2) host ARP-resolves the default gateway IP to get the router's MAC; (3) host sends an Ethernet frame with router MAC as destination within VLAN 30; (4) switch forwards it within VLAN 30 to the router port; (5) router strips L2; makes IP routing decision; sends outbound; NAT rewrites source IP.,basic routed path logic,host uses gateway mac to send frame to router within vlan then router routes ip packet,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the VLAN hopping security risk unique to the native VLAN when trunk negotiation is exploited?,The native VLAN carries BPDUs which an attacker can intercept to modify STP topology,Native VLAN frames are untagged on trunk links; an attacker can inject untagged frames that a switch forwards into the native VLAN bypassing VLAN access controls,The native VLAN is always VLAN 1 which is also the management VLAN; hopping gives the attacker switch management access automatically,The native VLAN frames are encrypted with a weaker cipher making them easier to intercept,B,802.1Q native VLAN traffic is sent untagged on trunk links. If the attacker sends an untagged frame from a port in the same native VLAN it enters that VLAN without any explicit tagging. If native VLANs are mismatched an attacker can also use double-tagging to reach another VLAN. Best practice: change the native VLAN to an unused VLAN.,vlan hopping attack,native vlan untagged frames can be injected bypassing vlan access controls,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,A network has grown large enough that ARP broadcasts and other overhead are significantly slowing performance. What is the most scalable solution?,Replace all switches with hubs to reduce broadcast storms by eliminating the MAC table,Add more routers and set every device to a static ARP entry to eliminate broadcasts,Segment the network with VLANs and routers to create smaller broadcast domains reducing the number of devices each broadcast reaches,Upgrade all switch ports to 10 Gbps so broadcasts consume a smaller percentage of available bandwidth,C,Each VLAN is its own broadcast domain. Splitting a flat network into multiple VLANs means ARP and other broadcasts only reach the devices within that VLAN. The total broadcast overhead each device processes drops significantly. Routers connect VLANs for inter-VLAN communication.,broadcast overhead problem,vlans reduce broadcast domains so each device processes fewer broadcasts,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
medium,How does a bridge perform media conversion and what modern network role does it fill?,Bridges convert between IPv4 and IPv6 address formats to connect legacy and modern subnets,Bridges regenerate electrical signals between two cable segments; modern switches still use this for PoE delivery,Bridges can connect different media types (copper on one side; fiber on the other) forwarding frames by MAC; modern switches are essentially multiport bridges fulfilling this same function,Bridges translate between 802.1Q and ISL encapsulation; modern switches still perform this translation for legacy devices,C,A bridge connects different network media types (e.g. copper to fiber) and makes forwarding decisions based on MAC addresses. Modern multiport switches are the direct evolution of bridges — they do the same MAC-based forwarding with many more ports and higher speed.,bridge media conversion role,bridges connect different media by mac forwarding; switches are multiport bridges,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why does adding more devices to a hub-based shared Ethernet segment degrade performance non-linearly?,Every device added increases collisions exponentially because the probability of two devices transmitting simultaneously rises with each additional sender competing for the same medium,Hub performance degrades linearly; each additional device reduces total throughput by exactly one share of total bandwidth,More devices cause the hub to enable rate limiting on all ports to prevent overload,Hub performance degrades because each device added causes the hub to add a processing delay proportional to port count,A,Collision probability grows with the number of competing transmitters. With two devices collisions are rare. With many devices collisions are frequent; after each collision all parties back off and retry; causing more collisions in a feedback loop. This is why hubs scaled badly and why switches replaced them.,why shared ethernet scaled badly,more hub devices increase collision probability and cause non-linear performance degradation,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the difference between a remote-access VPN and a site-to-site VPN in terms of endpoints and use case?,Remote-access VPN connects two switches at different sites; site-to-site VPN connects a single user device to the corporate network,Both VPN types are identical in topology; they differ only in the encryption protocol used,Remote-access VPN connects an individual device to the corporate network for a mobile or home worker; site-to-site VPN persistently connects two entire office networks through an encrypted tunnel,Site-to-site VPN is for temporary access during meetings; remote-access VPN is a permanent inter-office connection,C,Remote-access VPN: a single user's device (laptop; phone) connects to the corporate VPN concentrator. Useful for traveling employees or remote workers. Site-to-site VPN: a router at each office builds a persistent encrypted tunnel so all devices at both sites can reach each other as if on the same network.,vpn use cases,remote-access connects one device to corporate; site-to-site connects two office networks,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,A switch has the following MAC table: port 1 = A1; port 2 = B2; port 3 = C3. A frame arrives on port 1 with source A1 and destination D4 which is unknown. What does the switch do?,Update the MAC table with D4 on port 1 and send the frame to port 1,Drop the frame because D4 is not in the MAC table and flooding is disabled by default,Flood the frame out ports 2 and 3 only and learn A1 on port 1,Forward the frame only to port 3 because C3 is the closest alphabetical match to D4,C,The switch processes the incoming frame: (1) Learning — source A1 is already known on port 1; no update needed; (2) Forwarding decision — D4 is not in the MAC table; (3) Flooding — switch floods out all ports except ingress port 1; so the frame goes to ports 2 and 3.,flooding definition,unknown destination mac triggers flooding out all ports except ingress,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the security argument for using SSH instead of Telnet even when managing a device on an internal trusted network?,SSH is required by Cisco IOS and Telnet is disabled by default so there is no practical choice,SSH provides authentication while Telnet does not authenticate the user at all,Internal networks still carry traffic that can be captured by compromised hosts; SSH encrypts credentials protecting against insider threats and lateral movement by attackers who have already breached the network,Telnet passwords are too short (4 characters max) while SSH enforces longer passwords protecting brute-force attacks,C,Even on a trusted internal network a compromised host or network tap can capture Telnet credentials. SSH encrypts the entire session so a captured packet reveals nothing useful. This is especially important for switch and router management where captured credentials could give an attacker full network control.,why ssh matters,ssh encrypts credentials protecting against internal sniffing and compromised hosts,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
medium,What determines whether a DTP negotiation between two Cisco switch ports results in a trunk?,The port with the higher bridge priority becomes the trunk initiator; the lower priority port accepts,Trunk formation depends on the VLAN IDs configured on each port; matching VLANs always form a trunk,If either port is in desirable mode or both are in desirable mode a trunk forms; if both are in auto mode no trunk forms because neither side initiates,Trunk formation requires manual confirmation from the administrator regardless of DTP mode,C,DTP outcomes: Auto + Auto = no trunk (neither side sends DTP negotiate). Desirable + Auto = trunk (desirable sends; auto accepts). Desirable + Desirable = trunk (both send; either accepts). Hard-coded trunk on one side: trunk forms if the other side accepts it (auto or desirable).,dtp negotiation outcomes,desirable plus any mode forms trunk; auto plus auto does not because neither initiates,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,How does an unmanaged switch differ from a managed switch and why does VLAN configuration require a managed switch?,Unmanaged switches are Layer 3 devices; managed switches are Layer 2 only; VLANs require Layer 3 processing,Unmanaged switches only support ISL trunking which is incompatible with modern 802.1Q VLANs,Unmanaged switches are plug-and-play devices with no remote configurability; VLANs require port assignment commands that can only be issued on a managed switch with a CLI or web interface,Unmanaged switches use static MAC tables that cannot update dynamically; VLAN configuration requires dynamic MAC learning,C,An unmanaged switch has no configuration interface — it just forwards frames out of the box. Creating VLANs and assigning ports requires issuing configuration commands. This requires a managed switch that has a management interface (CLI via SSH/Telnet; or web GUI) and supports VLAN features.,managed vs unmanaged switch,vlan configuration requires managed switch with configurable cli or web interface,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the operational difference between Cisco's term trunking and other vendors' term tagging?,Trunking refers to LACP link aggregation on Cisco equipment; tagging refers to 802.1Q VLAN marking on non-Cisco equipment,Trunking means carrying multiple VLANs over one link; tagging describes the 802.1Q marking mechanism — different terms for the same concept depending on vendor,Trunking is a Layer 2 concept while tagging is Layer 3; they operate at different OSI layers,Cisco uses trunking for ISL and tagging for 802.1Q; the two terms describe different encapsulation protocols,B,Cisco commonly calls the feature trunk and the port a trunk port. Other vendors (including IEEE documentation) describe the mechanism as tagging — adding a VLAN tag to frames. Both terms describe the same behavior: one physical link carrying traffic for multiple VLANs using frame marking.,trunking vs tagging terminology,trunking (cisco) and tagging (other vendors) describe the same multi-vlan link feature,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
